[09:48:42] [INFO] received Windows console close event; shutting log-core down
[10:07:05] [INFO] received Windows console close event; shutting log-core down
[10:36:32] [INFO] received Windows console close event; shutting log-core down
[10:43:09] [INFO] received Windows console close event; shutting log-core down
[01:01:46] [INFO] received Windows console close event; shutting log-core down
[01:02:26] [INFO] received Windows console close event; shutting log-core down
[01:03:08] [INFO] received Windows console close event; shutting log-core down
[01:03:40] [INFO] received Windows console close event; shutting log-core down
[01:03:47] [INFO] received Windows console close event; shutting log-core down
[01:04:12] [INFO] received Windows console close event; shutting log-core down
[01:05:47] [INFO] received Windows console close event; shutting log-core down
[01:06:00] [INFO] received Windows console close event; shutting log-core down
[01:06:12] [INFO] received Windows console close event; shutting log-core down
[01:06:52] [INFO] received Windows console close event; shutting log-core down
[01:07:52] [INFO] received Windows console close event; shutting log-core down
[01:11:42] [INFO] received Windows console close event; shutting log-core down
[01:11:53] [INFO] received Windows console close event; shutting log-core down
[01:12:42] [INFO] received Windows console close event; shutting log-core down
[01:14:54] [INFO] received Windows console close event; shutting log-core down
[01:17:41] [INFO] received Windows console close event; shutting log-core down
[01:22:36] [INFO] received Windows console close event; shutting log-core down
[01:24:07] [INFO] received Windows console close event; shutting log-core down
[08:15:04] [INFO] received Windows console close event; shutting log-core down
[08:18:34] [INFO] received Windows console close event; shutting log-core down
[08:18:37] [INFO] received Windows console close event; shutting log-core down
[08:20:48] [INFO] received Windows console close event; shutting log-core down
[08:21:39] [INFO] received Windows console close event; shutting log-core down
[08:22:47] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[08:30:01] [INFO] received Windows console close event; shutting log-core down
[08:34:16] [INFO] received Windows console close event; shutting log-core down
[08:39:33] [INFO] received Windows console close event; shutting log-core down
[08:47:36] [INFO] received Windows console close event; shutting log-core down
[08:49:18] [INFO] received Windows console close event; shutting log-core down
[09:22:06] [INFO] received Windows console close event; shutting log-core down
[08:30:50] [INFO] received Windows console close event; shutting log-core down
[09:24:07] [INFO] received Windows console close event; shutting log-core down
[09:26:27] [INFO] received Windows console close event; shutting log-core down
